Location,cases,deaths,CFR,report_date,NDVI,NDVI_date,NDWI,NDWI_date,NDBI,NDBI_date,date_version,house,apartments,residential,toilets,waste_disposal,waste_transfer_station,school,university,college,kindergarten,childcare,prep_school,nursing_home,hospital,clinic,health_post,pharmacy,doctors,community_centre,social_centre,social_facility,basin,canal,pond,reservoir,wastewater,lagoon,lake,oxbow,river,stream,loc,TS,T2M,QV2M,RH2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,GWETPROF,GWETROOT,CLOUD_AMT,T2M_RANGE,PRECTOTCORR,ALLSKY_SFC_LW_DWN,Area (km^2),children population,children density,elderly population,elderly density,total population,total density,youth population,youth density,Average RWI,Min RWI,Max RWI
CAMARINES NORTE,1036,8.0,0.0077220077220077,2019-12-29,1560.1561313369848,2019-12-29,-1420.203689941789,2019-12-29,-717.302467465474,2019-12-29,2019-12-29,1712.0,5.0,231.0,3.0,0.0,0.0,317.0,1.0,7.0,0.0,2.0,0.0,0.0,11.0,12.0,1.0,27.0,2.0,4.0,0.0,2.0,0.0,0.0,576.0,0.0,0.0,0.0,6.0,0.0,74.0,0.0,CAMARINES NORTE,26.983478260869564,26.71934782608696,18.61663043478261,84.42358695652175,23.834021739130435,25.27717391304348,0.9490217391304347,28.691521739130437,25.146521739130435,0.9483695652173914,0.977173913043478,80.36423913043478,3.545543478260869,10.526847826086955,424.0798913043478,2108.2683540817934,109391.62108100014,51.88695303859602,59871.42421799997,28.39838870705601,881270.5731769998,418.00683080537743,167737.92308499987,79.56194132509007,-0.2768908450704223,-1.158,1.334
CAMARINES SUR,3696,36.0,0.0097402597402597,2019-12-29,20.70378385661218,2019-12-29,-15.389280336776691,2019-12-29,-1.447055345520823,2019-12-29,2019-12-29,3583.0,4.0,341.0,11.0,0.0,0.0,1181.0,21.0,28.0,5.0,9.0,0.0,0.0,26.0,31.0,4.0,69.0,7.0,34.0,2.0,13.0,0.0,0.0,153.0,3.0,0.0,1.0,15.0,0.0,142.0,1.0,CAMARINES SUR,27.34641304347826,27.08347826086956,18.702391304347824,83.45489130434783,23.980978260869566,25.532065217391303,0.9296739130434782,29.36565217391304,25.323478260869567,0.9156521739130434,0.9536956521739128,67.41760869565218,4.041847826086957,9.348260869565218,415.5755434782608,5295.298480128113,393933.8274090002,74.39312984666154,232366.27382800012,43.88161964807286,3224668.3208499933,608.9681880920103,619552.539556,117.00049428394276,-0.2536966887417221,-1.16,1.645
CAMIGUIN,811,2.0,0.002466091245376,2019-12-29,4317.743387842042,2019-12-28,-3718.045666842555,2019-12-28,-1806.384417214848,2019-12-28,2019-12-29,5792.0,0.0,2.0,2.0,0.0,0.0,54.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,CAMIGUIN,27.63978260869565,26.782608695652176,18.514891304347827,82.61163043478261,23.52608695652174,25.153260869565216,0.8132608695652175,28.57630434782609,25.42815217391304,0.795,0.7920652173913044,75.10184782608695,3.1473913043478263,5.177826086956522,422.7904347826087,244.08023223793813,10069.365526999998,41.25432622984405,9232.24789,37.82464399247242,92362.304324,378.4096052234248,17004.924316999997,69.66940403605889,-0.1031944444444444,-1.028,1.191
CAPIZ,6695,28.0,0.0041822255414488,2019-12-29,4045.6632203233735,2019-12-26,-3562.8027279771745,2019-12-26,-1528.9928346627073,2019-12-26,2019-12-29,3334.0,2.0,473.0,1.0,1.0,0.0,539.0,11.0,14.0,36.0,5.0,1.0,0.0,25.0,37.0,2.0,15.0,4.0,13.0,0.0,2.0,34.0,0.0,2326.0,30.0,0.0,0.0,63.0,0.0,102.0,0.0,CAPIZ,26.69663043478261,26.492065217391303,18.95684782608696,86.90391304347825,24.08641304347826,25.28967391304348,0.9445652173913044,28.69695652173913,24.8775,0.9348913043478262,0.9656521739130436,75.24945652173913,3.820108695652174,10.704891304347829,418.2091304347826,2649.037656190395,135950.0989,51.32056110350318,118982.56562599992,44.91539233047741,1340210.233288,505.9234360659744,267060.0410710001,100.81398444711486,-0.1937299270072991,-1.079,1.358
CATANDUANES,1048,1.0,0.0009541984732824,2019-12-29,1769.212589415134,2019-12-26,-1629.7103118408666,2019-12-26,-1361.7812846639524,2019-12-26,2019-12-29,805.0,1.0,48.0,3.0,6.0,0.0,262.0,2.0,7.0,0.0,3.0,0.0,0.0,11.0,4.0,1.0,8.0,1.0,7.0,1.0,0.0,0.0,0.0,36.0,6.0,0.0,0.0,13.0,0.0,51.0,0.0,CATANDUANES,28.549565217391304,27.90663043478261,19.291630434782608,82.0011956521739,24.547826086956523,26.227608695652176,0.952608695652174,28.500434782608696,27.316195652173917,0.950108695652174,0.9751086956521738,68.12836956521738,1.1848913043478262,12.971739130434784,419.35934782608695,1472.455740765324,34030.206474000035,23.11119141435958,25803.675081000023,17.524244951218908,289174.41942199983,196.38920981876063,55449.213927000026,37.65764388828402,-0.1758359375,-1.757,1.019
CAVITE,21354,70.0,0.0032780743654584,2019-12-29,2720.6195078260203,2019-12-29,-2781.9046977322937,2019-12-29,-977.1616361830944,2019-12-29,2019-12-29,486465.0,469.0,27864.0,152.0,9.0,4.0,797.0,28.0,61.0,20.0,7.0,2.0,2.0,91.0,117.0,6.0,273.0,33.0,155.0,6.0,16.0,4.0,0.0,593.0,14.0,14.0,14.0,12.0,0.0,75.0,7.0,CAVITE,27.87217391304348,27.090434782608696,18.582826086956523,82.65380434782608,23.817282608695653,25.45413043478261,0.8841304347826088,29.35358695652174,25.251956521739128,0.863695652173913,0.893695652173913,66.58565217391305,4.101195652173913,4.432608695652174,418.9944565217391,1244.4406436706145,698574.174458,561.3559618219143,387838.1518110002,311.6566095647832,6736107.323192999,5412.959916934335,1286623.447382,1033.8969993674932,0.695492822966507,-0.944,1.559
CEBU,10430,56.0,0.0053691275167785,2019-12-29,885.1521801794378,2019-12-26,-865.4454925894645,2019-12-26,-1252.4127581251548,2019-12-26,2019-12-29,8264.0,133.0,626.0,86.0,3.0,2.0,1827.0,65.0,59.0,16.0,50.0,2.0,2.0,62.0,93.0,8.0,291.0,39.0,107.0,0.0,26.0,5.0,2.0,166.0,18.0,1.0,9.0,8.0,0.0,40.0,0.0,CEBU,27.63586956521739,27.16576086956522,19.18695652173913,84.60782608695652,24.32913043478261,25.74836956521739,0.9192391304347826,28.78032608695652,25.843695652173917,0.9217391304347826,0.9552173913043478,74.4720652173913,2.9364130434782605,7.464782608695652,408.3734782608696,4878.700318699652,890298.1615220009,182.48674920850584,592600.6078350008,121.46690083906408,7931806.567345002,1625.803195359848,1565529.8795120018,320.8907654178832,-0.0411850060459492,-1.389,1.824
DAVAO DEL NORTE,1487,8.0,0.0053799596503026,2019-12-29,1550.0564103643355,2019-12-28,-1350.431625418189,2019-12-28,-1273.899777715971,2019-12-28,2019-12-29,3010.0,207.0,200.0,7.0,0.0,0.0,455.0,2.0,23.0,19.0,9.0,0.0,0.0,31.0,19.0,6.0,25.0,3.0,9.0,0.0,6.0,1.0,0.0,193.0,17.0,0.0,0.0,21.0,5.0,73.0,0.0,DAVAO DEL NORTE,26.49815217391304,26.600978260869564,18.030217391304348,83.13391304347826,23.080434782608695,24.841521739130435,0.8825,31.71336956521739,22.982717391304345,0.9180434782608696,0.8768478260869565,75.49978260869565,8.730108695652174,6.98,402.8289130434783,3492.9556613086347,401062.2849430004,114.82031947486632,212570.19575500028,60.85682624306801,3515689.760288,1006.508556415757,721494.8167009996,206.557107120762,-0.1567280334728033,-1.066,1.579
DAVAO DEL SUR,949,7.0,0.0073761854583772,2019-12-29,4218.342889979545,2019-12-28,-3701.4412980146008,2019-12-28,-2025.182022182462,2019-12-28,2019-12-29,12046.0,150.0,350.0,65.0,2.0,0.0,1021.0,18.0,86.0,93.0,18.0,1.0,2.0,60.0,99.0,19.0,160.0,58.0,39.0,0.0,33.0,1.0,12.0,147.0,15.0,1.0,0.0,26.0,5.0,71.0,0.0,DAVAO DEL SUR,28.4475,27.820652173913043,18.230760869565216,77.49467391304348,23.437826086956523,25.629565217391303,0.857608695652174,29.775,26.30826086956522,0.8257608695652173,0.866304347826087,68.6086956521739,3.467608695652174,5.939782608695652,409.6436956521739,6055.200644714614,525404.5942889994,86.76914690640481,260848.7349239997,43.07846266856343,4487407.8553530015,741.0832635694595,915401.9272719994,151.17615104480868,-0.1742135922330097,-1.083,1.912
DAVAO ORIENTAL,381,1.0,0.0026246719160104,2019-12-29,3125.0596865253506,2019-12-25,-2834.6474299835986,2019-12-25,-1934.6771973142927,2019-12-25,2019-12-29,27.0,0.0,2.0,6.0,0.0,0.0,398.0,1.0,8.0,7.0,1.0,0.0,0.0,7.0,2.0,9.0,8.0,4.0,7.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,11.0,1.0,40.0,0.0,DAVAO ORIENTAL,27.80195652173913,26.901847826086957,18.245978260869567,80.97195652173913,23.31086956521739,25.10641304347826,0.8666304347826087,28.772934782608697,25.396413043478265,0.8673913043478261,0.8768478260869565,75.35239130434783,3.376304347826087,9.929782608695652,399.5677173913044,5137.409638556632,150840.63091700035,29.36122317070659,82357.24132399993,16.030888544667114,1272694.1406340003,247.73071064497924,255628.972797,49.75833947102175,-0.3662775590551179,-1.316,1.173
DINAGAT ISLANDS,749,2.0,0.0026702269692923,2019-12-29,1883.9249452533704,2019-12-28,-1060.0880115220457,2019-12-28,-299.0300272954991,2019-12-28,2019-12-29,257.0,0.0,70.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,10.0,0.0,4.0,0.0,DINAGAT ISLANDS,28.124782608695654,27.58891304347826,19.21467391304348,83.37326086956521,24.44630434782609,26.016413043478263,0.8432608695652174,29.398478260869563,26.42184782608696,0.8306521739130435,0.8214130434782608,75.07836956521739,2.9765217391304346,8.611304347826087,419.9419565217392,809.5996663299944,16259.578130999997,20.08347928885208,14890.133068000005,18.39197036172043,158693.51107100002,196.01479307714564,31707.059979999984,39.16387481201866,-0.2633837209302326,-1.059,0.956
EASTERN SAMAR,3811,13.0,0.0034111781684597,2019-12-29,1521.2090290837616,2019-12-28,-966.1617176983428,2019-12-28,-597.8181665157729,2019-12-28,2019-12-29,6857.0,4.0,546.0,2.0,0.0,0.0,545.0,5.0,6.0,3.0,48.0,0.0,0.0,20.0,14.0,3.0,26.0,6.0,28.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,1.0,76.0,1.0,EASTERN SAMAR,28.770108695652173,28.120978260869567,19.41945652173913,81.62271739130435,24.67510869565217,26.397391304347824,0.9045652173913044,28.90380434782609,27.39282608695652,0.8979347826086956,0.9344565217391304,70.65304347826087,1.5113043478260868,8.426304347826088,418.4122826086957,4282.521454833805,66233.76393799999,15.466067044040148,51550.02827600001,12.037307651503768,569219.478380999,132.91690056532104,108300.26459600015,25.288901815952038,-0.28915243902439,-1.142,1.347
GUIMARAS,2393,5.0,0.0020894274968658,2019-12-29,2084.851444184861,2019-12-26,-1681.4349339836924,2019-12-26,-1166.7320900923642,2019-12-26,2019-12-29,273.0,0.0,7.0,2.0,0.0,0.0,122.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,187.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,GUIMARAS,27.9975,27.58836956521739,19.37902173913044,83.82913043478261,24.587065217391302,26.08684782608696,0.9053260869565218,29.023369565217397,26.44326086956522,0.8939130434782608,0.9260869565217392,73.01304347826087,2.581195652173913,7.90858695652174,421.1402173913044,604.5312542181166,66079.89232600002,109.30765260675538,59321.08185999998,98.12740275393068,688145.7960430003,1138.313017303015,136863.069134,226.39535702916595,-0.0989615384615384,-0.779,1.151
IFUGAO,1123,2.0,0.0017809439002671,2019-12-29,788.2202031440563,2019-12-29,-756.9394375934564,2019-12-29,-1639.8915231360802,2019-12-29,2019-12-29,1672.0,3.0,2.0,5.0,0.0,0.0,268.0,4.0,0.0,2.0,3.0,0.0,0.0,11.0,6.0,1.0,1.0,1.0,7.0,0.0,6.0,0.0,0.0,113.0,3.0,0.0,0.0,1.0,0.0,23.0,0.0,IFUGAO,22.07445652173913,21.954239130434782,16.024239130434783,90.89869565217391,20.24793478260869,21.101521739130437,0.9229347826086955,26.02065217391305,19.159782608695654,0.9192391304347826,0.9464130434782608,75.17,6.861304347826087,8.705,395.0303260869565,2503.588577509258,74016.84125599996,29.564298991025517,43805.332021,17.497017047657472,657020.8574170005,262.4316404537402,133718.58844599992,53.4107679062158,-0.4075029069767441,-1.319,0.893
ILOCOS NORTE,3438,14.0,0.0040721349621873,2019-12-29,1312.8414489729394,2019-12-29,-1270.1725412850385,2019-12-29,-411.2611881501783,2019-12-29,2019-12-29,3979.0,6.0,30.0,23.0,0.0,0.0,484.0,4.0,7.0,9.0,7.0,1.0,0.0,23.0,16.0,1.0,42.0,10.0,15.0,1.0,6.0,7.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,79.0,1.0,ILOCOS NORTE,25.448913043478264,25.158152173913045,17.211739130434783,84.19836956521739,22.20978260869565,23.68467391304348,0.8642391304347826,28.237065217391304,23.10967391304348,0.8429347826086956,0.8785869565217391,64.32576086956522,5.126847826086957,7.640326086956521,412.6290217391305,3379.848143292253,73903.42811399997,21.86590195203619,78500.12153300009,23.2259315226318,760097.4128260011,224.8909952757827,137021.44848900003,40.54071149940179,-0.0187743902439024,-0.94,1.554
ILOCOS SUR,4306,6.0,0.0013934045517882,2019-12-29,5635.795612900704,2019-12-29,-5254.528839672765,2019-12-29,-1195.763203016926,2019-12-29,2019-12-29,94235.0,23.0,97.0,14.0,0.0,0.0,585.0,1.0,11.0,5.0,0.0,1.0,0.0,21.0,8.0,3.0,36.0,5.0,22.0,0.0,6.0,0.0,0.0,105.0,0.0,0.0,0.0,6.0,0.0,130.0,0.0,ILOCOS SUR,24.23304347826087,24.088152173913045,16.18934782608696,81.25891304347826,20.53641304347826,22.312608695652177,0.8799999999999999,27.42836956521739,21.50804347826087,0.9092391304347828,0.8944565217391305,53.64782608695653,5.921521739130434,4.9103260869565215,402.27456521739134,2506.210918226802,135320.01454700014,53.99386522613267,130154.583496,51.932813215931226,1356232.4955860002,541.1485863869606,257260.66950900003,102.64924936605794,-0.101975,-0.982,1.124
ILOILO,23062,80.0,0.0034689098950654,2019-12-29,3793.278147680188,2019-12-26,-3365.6310359569093,2019-12-26,-1526.445353793307,2019-12-26,2019-12-29,10572.0,1225.0,3702.0,80.0,2.0,0.0,1430.0,20.0,50.0,46.0,26.0,1.0,2.0,38.0,84.0,11.0,200.0,29.0,112.0,0.0,12.0,0.0,0.0,2150.0,37.0,1.0,9.0,17.0,0.0,108.0,0.0,ILOILO,25.72,25.677065217391306,18.71728260869565,89.24923913043479,23.718152173913044,24.69760869565217,0.9445652173913044,28.302065217391306,23.722065217391304,0.9370652173913044,0.9683695652173914,73.01304347826087,4.580652173913044,10.137282608695651,421.1402173913044,4710.55648333645,580374.2182680002,123.20714555086404,502794.9039940008,106.73789939100256,5677868.67496799,1205.3498764006756,1116788.845164999,237.0821471126881,-0.1042213642213641,-1.072,1.473
ISABELA,5668,31.0,0.0054693013408609,2019-12-29,2000.0649728093103,2019-12-29,-2001.25525154766,2019-12-29,-1112.5601227836148,2019-12-29,2019-12-29,2210.0,7.0,104.0,7.0,0.0,0.0,1142.0,14.0,39.0,2.0,1.0,0.0,0.0,37.0,5.0,0.0,20.0,8.0,21.0,0.0,3.0,4.0,0.0,162.0,33.0,1.0,1.0,21.0,0.0,59.0,0.0,ISABELA,24.894782608695653,24.998043478260872,17.616739130434784,88.3820652173913,22.8454347826087,23.922065217391303,0.920108695652174,28.78478260869565,22.22869565217391,0.8964130434782609,0.9375,78.59815217391304,6.556413043478261,10.32641304347826,413.1644565217391,10277.271204507935,253179.502347,24.63489551934248,152059.54034899987,14.795711558365976,2288126.485500998,222.63949641587288,454084.064222,44.18332991181787,-0.2036113243761996,-1.136,1.407
KALINGA,1516,4.0,0.0026385224274406,2019-12-29,2540.1673469544726,2019-12-29,-2480.0332385388097,2019-12-29,-829.9252241018554,2019-12-29,2019-12-29,60.0,0.0,0.0,0.0,0.0,0.0,298.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,KALINGA,22.26858695652174,22.25891304347826,16.216195652173916,91.28152173913044,20.649565217391302,21.45402173913044,0.9181521739130436,26.229347826086958,19.630978260869565,0.9108695652173912,0.9428260869565216,71.40173913043478,6.598804347826087,9.613043478260868,395.2582608695652,2897.824845617579,51137.07397099996,17.64670975484777,28626.758196000017,9.8787054846647,444085.0088829998,153.24770562119923,93010.96525199983,32.09682096302737,-0.4090252365930598,-0.998,0.765
LA UNION,1980,8.0,0.004040404040404,2019-12-29,2411.477893451237,2019-12-29,-2283.489392467089,2019-12-29,-823.3489148357834,2019-12-29,2019-12-29,34089.0,14.0,1425.0,19.0,1.0,1.0,476.0,6.0,15.0,4.0,12.0,0.0,0.0,19.0,18.0,7.0,51.0,11.0,24.0,0.0,4.0,1.0,0.0,32.0,2.0,0.0,1.0,1.0,0.0,51.0,1.0,LA UNION,22.88380434782609,22.82597826086956,15.93695652173913,85.5104347826087,20.114239130434783,21.46978260869565,0.8872826086956521,26.99554347826087,19.519565217391303,0.9279347826086956,0.9018478260869564,57.80380434782609,7.475869565217391,4.251086956521739,400.19641304347823,1464.1589124179498,98425.74847900002,67.22340563187721,83757.75197900007,57.20536976459772,992339.288271,677.7538147360149,191367.76650300005,130.7015002811207,0.0202519083969465,-0.925,1.503
