Location,Area (km^2),children population,children density,elderly population,elderly density,total population,total density,youth population,youth density,Average RWI,Min RWI,Max RWI
Laguna,2696.706541709535,933944.4932759987,346.32781833352146,501740.49519399955,186.05676495890762,8856215.994566986,3284.085923918413,1702758.4824870012,631.4214973526797,0.45868501529051997,-0.806,2.287
Lanao del Norte,2839.6294438142977,269816.5193929999,95.0182144296166,108123.04427900008,38.0764625872329,2122963.1704650004,747.6197907052816,428207.6053950009,150.7970014636192,-0.25488442211055273,-1.089,1.582
Lanao del Sur,3876.6867381433285,231448.73240199947,59.702717303603386,71509.90670299983,18.446140101907808,1714890.5708349997,442.35985176772795,345967.4600930013,89.2430788097922,-0.33741477272727277,-1.149,1.5
Leyte,5562.127051290651,295357.7056669999,53.10157480104024,207799.18969000003,37.35966254884123,2527471.852245001,454.40742883759185,483395.26491200045,86.90834647508314,-0.18775730622617529,-1.078,1.59
Maguindanao,4783.04007549087,343890.03645200003,71.89779534028001,135902.3181400001,28.413376429017866,2809147.208692005,587.3141693055353,575879.1586,120.40023698544887,-0.3745285935085009,-1.097,1.498
Marinduque,928.835480026724,24551.206347999996,26.43224432737391,21128.83733899999,22.747663922562566,222672.854896,239.73336471771447,39355.526317,42.37082579561634,-0.28324999999999984,-1.238,1.154
Masbate,4002.3153121527384,301217.968707,75.26092904084135,167835.1039830004,41.93450312957136,2366555.9948619925,591.29673958374,443645.7914480014,110.84728634470736,-0.4093308157099702,-1.086,1.026
Metro Manila,557.7243272932113,1612978.8781380004,2892.071941645845,917242.4606819998,1644.616194408496,16064948.044991996,28804.459943426857,3173775.4511360014,5690.58098386922,1.2725643564356435,0.458,2.233
Misamis Occidental,1893.8643021196349,80678.10159900003,42.59972665871793,67800.62337200005,35.80014856192009,764896.079649,403.88114332844196,146778.02608699998,77.50187060536719,-0.2709760956175298,-1.311,1.24
Misamis Oriental,3330.075186466433,271623.4022570004,81.5667476100508,147730.43985599984,44.362493812867235,2365215.0401609982,710.2587502448391,481681.47566900006,144.64582590404385,-0.15518863636363642,-1.064,1.635
Mountain Province,2129.0480625213227,42501.04150400003,19.962462215938995,27635.978366999992,12.980438935827554,376614.6382559997,176.8934411983139,81051.98197099999,38.06958771753338,-0.3762565217391304,-1.049,0.869
Negros Occidental,7805.875165556481,659635.217708,84.50496628727146,529387.8839119993,67.81915834984522,6218087.852298997,796.590737158645,1219225.375891998,156.19329671986617,-0.20170826580226942,-1.043,1.386
Negros Oriental,4994.458112272508,254918.50170499965,51.04027223265874,190764.1836,38.19517139031549,2340351.036557001,468.5895814815689,459820.5246370007,92.06614897962967,-0.350417910447761,-1.089,1.333
North Cotabato,6359.944147612747,333889.43413799995,52.49879973605238,145194.82584699983,22.829575618443098,2707755.069807002,425.75139135826817,548641.704467,86.26517650676803,-0.32666597724922447,-1.123,1.393
Northern Samar,3394.870067953511,118138.80656500005,34.79921298908982,68440.08806900006,20.15985492789625,939994.6421650009,276.88678015640426,180765.6091860002,53.24669444417617,-0.4002719780219776,-1.342,1.172
