Location,NDVI,NDVI_date,NDWI,NDWI_date,NDBI,NDBI_date,date_version
Ilocos Norte,1312.8414489729394,2019-12-29,-1270.1725412850383,2019-12-29,-411.2611881501783,2019-12-29,2019-12-29
Ilocos Sur,5635.795612900704,2019-12-29,-5254.528839672765,2019-12-29,-1195.763203016926,2019-12-29,2019-12-29
Iloilo,3793.278147680188,2019-12-26,-3365.6310359569093,2019-12-26,-1526.445353793307,2019-12-26,2019-12-29
Isabela,2000.0649728093103,2019-12-29,-2001.2552515476598,2019-12-29,-1112.5601227836148,2019-12-29,2019-12-29
Kalinga,2540.1673469544726,2019-12-29,-2480.0332385388097,2019-12-29,-829.9252241018554,2019-12-29,2019-12-29
La Union,2411.477893451237,2019-12-29,-2283.489392467089,2019-12-29,-823.3489148357834,2019-12-29,2019-12-29
Laguna,2479.1296591395094,2019-12-29,-2330.4455489390575,2019-12-29,-1098.9543517870534,2019-12-29,2019-12-29
Lanao del Norte,4081.6860783097745,2019-12-28,-3723.7607678975473,2019-12-28,-1418.683533397352,2019-12-28,2019-12-29
Lanao del Sur,1053.2515932038614,2019-12-28,-996.8418531731737,2019-12-28,-1169.425635633621,2019-12-28,2019-12-29
Leyte,3291.4200644118528,2019-12-28,-3147.0591920231154,2019-12-28,-1755.9436946021099,2019-12-28,2019-12-29
Maguindanao,3626.205138934147,2019-12-28,-3369.5157406815447,2019-12-28,-1060.1591560078166,2019-12-28,2019-12-29
Marinduque,3987.9823288351777,2019-12-29,-3687.8088517745764,2019-12-29,-1467.5131749411037,2019-12-29,2019-12-29
Masbate,1236.5677681641841,2019-12-26,-1001.5942880122019,2019-12-26,-544.5863482631637,2019-12-26,2019-12-29
Metro Manila,1073.926513998571,2019-12-29,-1199.0464812255323,2019-12-29,-60.14606742526654,2019-12-29,2019-12-29
Misamis Occidental,2140.474614461478,2019-12-28,-2114.250698486381,2019-12-28,-1475.3729080772798,2019-12-28,2019-12-29
Misamis Oriental,1637.0336643145883,2019-12-28,-1496.139436305302,2019-12-28,-854.5807044794403,2019-12-28,2019-12-29
Mountain Province,2030.33726023339,2019-12-29,-2033.6314722794395,2019-12-29,-1746.1299792257025,2019-12-29,2019-12-29
Negros Occidental,3121.1667380346867,2019-12-26,-2842.6736043882324,2019-12-26,-907.8575344291904,2019-12-26,2019-12-29
Negros Oriental,4271.8369995051735,2019-12-26,-3863.2203062265808,2019-12-26,-1342.7896919152895,2019-12-26,2019-12-29
Northern Samar,3848.4227919122463,2019-12-28,-3399.961806258185,2019-12-28,-1631.4553077726634,2019-12-28,2019-12-29
Occidental Mindoro,3802.304160022554,2019-12-29,-3598.3269072581093,2019-12-29,-1465.1822301714917,2019-12-29,2019-12-29
Oriental Mindoro,1847.7143279725278,2019-12-29,-1592.4538283158117,2019-12-29,-769.0222822629282,2019-12-29,2019-12-29
Palawan,360.8169596138527,2019-12-29,-337.2943774492386,2019-12-29,-173.75673594782808,2019-12-29,2019-12-29
Pampanga,525.0631656076202,2019-12-29,-447.0517528007397,2019-12-29,-1256.3394514457814,2019-12-29,2019-12-29
Pangasinan,2961.830616980507,2019-12-29,-2741.7282794706784,2019-12-29,-783.1327780754225,2019-12-29,2019-12-29
