school,place_of_worship,restaurant,townhall,fuel,fast_food,bank,atm,police,bus_station,fire_station,cafe,doctors,clinic,parking,monastery,library,hospital,college,public_building,university,theatre,courthouse,bar,cinema,post_office,community_centre,marketplace,pharmacy,childcare,social_facility,Location,Date_Extracted,water_point,bbq,ferry_terminal,car_wash,internet_cafe,recycling,bureau_de_change,studio,health_post,dentist,taxi,toilets,animal_breeding,events_venue,shelter,prison,money_transfer,bench,kindergarten,fountain,waste_transfer_station,Government Agency,nursing_home,rescue_station,post_box,clock,weighbridge,coast_guard,conference_centre,food_court,stage,pub,drinking_water,nightclub,payment_centre,parking_space,telephone,arts_centre,motorcycle_parking,bicycle_repair_station,yes,bicycle_parking,dive_centre,ice_cream,waste_basket,grave_yard,car_rental,veterinary,prep_school,music_school,research_institute,post_depot,hunting_stand,vending_machine,waste_disposal,parking_entrance,gambling,Ice plant,biergarten,electricity,smoking_area,motorcycle_rental,bicycle_rental,waiting shed,crematorium,planetarium,language_school,charging_station,ranger_station,fish_spa,daycare center,basketball court,sports complex,office,Provincial Capitol,Old Hospital,payment_terminal,court,retail,vehicle_inspection,customs,shower,lounger,compressed_air,driving_school,casino,love_hotel,jeepney_station,boat_rental,watering_place,service,social_centre,market,reception_hall,air_filling,lake,barangay hall,guardhouse,fixme,table,training,coworking_space,jeepney_terminal,dancing_school,courier,driver_training,church,events_center,meditation_centre,letter_box,payment_centre;bureau_de_change,hitching_post,canteen,money_lender,give_box,scooter_rental,cafeteria,mortuary,reception_desk,dressing_room,fablab,bus_stop,public_bath,funeral_hall,security,karaoke_box,cable,healthcare,fx_station,museum,tricylce_station,animal_shelter,Sisters' Convent,caltex_station-atlag,Convent,loading_dock,water_tap,grain_dryer,dryer,funeral_directors,barangay Hall,security_booth,preschool,drugstore,first_aid,resort,device_charging_station,mill,warehouse,handwashing,pawnbroker,spa,sports_hall,birthing_centre,private residence,events_place,public_transport,retreat_house,industrial,place_of_mourning,photo_booth,business_center,chapel,lavoir,sanitary_dump_station,boat_storage,dormitory,Karaoke Bar,closed_restaurant,civic,outpost,closed_fuel,homes,health_station,dojo,building,sotore,park,quarantine_facility,wheel_bath,grilled_chicken,satellite_tv,traditional_medicine,baby_hatch,stripclub,wifi,pepsi depot,stables,covered_court,laboratory,public_buildings,basketballcourt,barangay hall_cabulalaan,Basketball Court,lounge,home,animal_boarding,flight_school,barangay_outpost,parcel_locker,Coliseum,appliance,multipurpose_pavement,refugee_site,multi-purpose shed,multi-purpose hall,cockpit,triage,lecture_hall,scrapyard,tricycle_station,jeep_station,pedicab_terminal,grave,auditorium,vacant,concert_hall,jeepney terminal,computer,hut,airsoft_gamesite,shower;toilets,convention_centre,gym,ticket_booth,fishing_port,disused,village_hall,food stall,farm,Gym,payment_center,billards,clinic;police,townhall;childcare;clinic,Commercial building,restaurant;event_location,vegetable_market,bar;pharmacy,binoculars,animal_training,townhal,swimming_pool,retirement_home,plant_nursery,community_centre;bench,events_centre,waterwell,public,social_facility without social_facility,poultry,pedicab_station,Public_Transpotation,cooking_school,social_club,funeral_home,taxi Jeeps,place_of_worship without religion,wheeler,car_pooling,terminal,restaurant;cafe,housing,clinic;laboratory,fuel;toilets,school inside amenity,barangay_hall,bank;pharmacy,jeep_terminal;restaurant,health_outpost,community_hall,Sari—Sari Store,cockfighting house,tricycle,jogging path,house,grocery,rickshaw,shed,utilities,truck_scale,mall,dryer_place,register_office,naka,pavilion,Iglesia ni Cristo,Contractor,district hospital,health_facility,cafe;motorcycle_rental,rescue-station,bakery,evacuation center,beach,restaurant;dive_centre,transport,Transport,car_sharing,village,recreational_ground,cockfighting
1299,320,235,97,196,150,124,38,39,44,34,126,7,29,124,3,15,41,49,14,32,2,7,33,4,25,67,66,78,6,10,Negros Occidental,01/09/2023,16,3,16,20,6,4,2,7,1,9,9,26,,5,36,4,2,7,23,13,,,,2,3,1,,1,,11,1,14,5,,1,3,2,2,4,1,,4,5,4,4,6,2,3,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,3,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,134,158,270,117,115,72,22,36,17,22,66,7,18,51,1,8,16,21,1,18,6,9,24,2,14,9,48,47,11,15,Negros Oriental,01/09/2023,2,,11,12,11,6,3,5,1,7,3,25,3,2,11,4,1,7,10,15,,,,,,,,1,1,6,2,2,1,,1,3,1,1,4,,,,13,1,,1,5,1,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,72,51,46,76,16,30,3,14,17,7,14,8,8,13,,5,29,24,4,1,1,,1,1,15,25,15,17,6,1,North Cotabato,01/09/2023,1,,,2,3,,,,3,2,2,6,,,5,1,3,13,5,3,,,,,,,,,,2,1,,1,,,,,,,,,2,,1,,2,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,60,17,38,12,12,19,1,14,9,12,6,8,17,7,,2,9,20,1,2,2,1,7,1,1,35,7,30,5,3,Northern Samar,01/09/2023,6,,35,2,2,,1,1,,7,1,4,,1,14,1,1,1,2,,,,,1,2,,,2,,1,,1,1,2,,,,,1,,,3,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,373,141,208,265,162,130,29,42,37,13,41,23,37,82,,3,38,37,11,12,4,9,12,,19,22,40,117,13,14,Nueva Ecija,01/09/2023,1,,,22,14,1,2,1,8,11,5,19,22,6,19,4,9,7,12,7,,,,,1,1,1,,,3,1,2,,,4,,2,,1,,,4,,1,,1,2,17,,,6,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,90,46,30,89,29,29,2,15,7,1,9,4,17,43,1,6,13,14,3,3,,1,3,,4,16,12,13,2,1,Nueva Vizcaya,01/09/2023,1,,,1,4,2,2,6,,3,,7,,1,25,1,,1,3,1,,,,,,,,,1,,,,5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,100,24,43,36,65,19,4,11,11,1,2,3,18,12,,,9,8,,,1,3,4,,5,19,10,17,4,6,Occidental Mindoro,01/09/2023,,,6,4,1,2,,2,,4,31,6,,,31,1,4,,3,1,,,,,1,,,,,1,1,,,,,,1,,,,,,1,,2,,,2,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,96,121,49,56,53,55,7,16,15,6,15,8,8,25,,,14,20,1,3,1,5,21,,6,6,32,34,5,4,Oriental Mindoro,01/09/2023,2,1,5,4,4,2,1,3,3,6,2,2,1,,3,2,3,4,2,,,,,,,,,3,,4,1,14,,,,,,,2,,,2,17,2,,,,,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,1290,688,415,494,501,316,46,88,76,30,149,51,501,582,2,12,79,57,6,21,6,10,104,9,63,57,46,443,334,491,Pampanga,01/09/2023,11,,1,80,22,16,16,3,27,162,64,76,4,12,70,3,16,57,22,10,,,2,3,,2,3,,2,8,9,22,,10,9,223,1,,16,1,1,50,,10,3,7,8,50,,,,,3,1,,29,3,,1,,,1,1,,,,,1,,,,,,1,,,1,,1,6,,4,,6,4,8,,2,,,,,,,,,,,,,5,,,,,,3,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,478,352,285,400,462,247,40,84,40,29,79,34,70,268,1,8,56,30,2,21,4,13,21,2,64,60,60,279,50,10,Pangasinan,01/09/2023,,3,3,48,11,5,6,3,32,49,22,42,,14,118,3,30,10,3,10,,,,1,2,,,3,,6,1,3,,4,6,3,,,4,,,,,8,3,5,,25,1,1,2,,2,,,10,1,,1,,1,,,,,,,,,,,,,,,,,,,10,,,,1,9,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,262,175,121,197,147,96,28,38,24,32,34,13,33,75,3,7,37,29,3,13,2,8,20,,11,26,35,89,4,6,Quezon,01/09/2023,1,1,11,20,16,2,1,8,4,12,3,39,1,8,37,3,,69,9,10,,,1,1,,1,,1,1,4,2,2,,2,3,3,1,1,2,,,,,1,1,1,1,4,,,,,,,1,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,5,,,,,,1,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,22,,32,13,1,3,,6,5,2,1,1,6,2,,1,1,,,1,1,3,,,2,7,4,1,14,1,Quirino,01/09/2023,,,,,,1,,,2,,1,,,1,,1,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,392,326,115,243,334,168,48,45,38,14,111,16,60,299,3,10,50,51,10,11,2,6,30,3,22,185,67,133,15,13,Rizal,01/09/2023,1,1,4,37,46,40,7,1,13,52,111,47,32,7,61,4,6,16,15,5,1,,1,2,1,1,1,2,1,9,6,3,9,3,12,10,2,,12,2,,29,,3,,4,7,20,2,,,,,,2,18,12,,1,,,,,,1,,,,,,,,,,,,,,,1,,6,,7,7,5,,2,,,,4,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
259,78,49,29,22,11,8,3,8,1,3,9,3,6,4,,2,8,3,2,5,,3,4,,2,7,11,9,2,2,Romblon,01/09/2023,1,,3,,1,,1,,2,2,,4,,1,9,1,,15,,1,,,,1,,,,4,,2,,,1,,,,,,1,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,121,49,87,53,43,42,24,21,21,17,16,5,15,27,,3,17,4,3,5,,1,15,1,13,64,28,27,7,9,Samar,01/09/2023,2,1,50,,10,3,5,1,3,5,1,18,,23,35,6,2,1,2,3,1,,,,,,1,2,,2,2,3,1,2,1,3,1,,2,,,4,,1,,,1,,,,,,,1,,,,,,,7,,,,1,,,,,,,,,,,,,,,2,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,
263,63,4,40,23,3,4,2,6,3,1,,,6,3,,1,6,,1,1,,2,1,,1,7,10,22,3,2,Sarangani,01/09/2023,1,,,,2,,,1,2,1,,1,1,,,2,1,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,41,68,77,10,11,6,6,7,,5,5,1,4,18,,1,3,2,,,,,12,,1,1,13,12,9,,Siquijor,01/09/2023,1,,2,,5,,3,,1,1,,3,,,1,,3,2,16,1,2,,,,,,,,,4,,,2,,,,,1,1,,,,10,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,124,18,67,23,18,15,2,12,12,3,12,,5,15,2,,20,8,1,4,,,6,,6,9,11,17,45,3,Sorsogon,01/09/2023,,,5,1,2,,1,,18,,1,,,1,2,1,4,2,1,,,,,,,,,2,,,2,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
596,203,182,118,127,61,68,17,28,14,17,33,7,34,124,,4,36,27,,13,,6,8,3,12,17,23,39,10,5,South Cotabato,01/09/2023,2,2,1,13,6,1,5,6,12,5,2,23,1,3,30,2,3,96,2,9,,,,,4,1,,,1,12,,1,,,,3,,,6,,,12,,2,,5,2,2,,1,,,,1,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,2,1,,1,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
452,177,76,80,44,50,32,3,21,21,10,23,5,11,27,4,2,19,9,7,5,1,1,6,,11,33,25,28,7,3,Southern Leyte,01/09/2023,1,2,6,6,8,2,1,4,4,4,,6,,1,15,3,3,6,2,,,,,1,,,,2,,4,,1,1,,,8,,,1,,,2,3,,,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,68,24,30,30,14,18,,8,5,5,8,1,5,2,,1,13,3,4,6,,2,1,,9,2,10,21,4,5,Sultan Kudarat,01/09/2023,2,,,4,1,,,,30,2,1,1,1,1,4,,,,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,36,4,7,2,2,4,,4,,1,,1,1,1,,,3,5,,,1,1,,,1,2,2,,,,Sulu,01/09/2023,,,5,,,,,,,,,,,,,,,,,6,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
429,75,114,39,33,26,28,24,8,9,6,36,3,15,12,1,1,11,5,2,4,,1,22,,4,42,14,20,6,6,Surigao del Norte,01/09/2023,4,,31,2,6,2,1,1,8,3,2,11,,,37,2,5,,5,,,,,1,,,,1,,2,1,,1,1,,,,,3,,,,2,,1,3,2,3,,,,,,,14,,,,,,,2,1,,1,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
517,56,48,305,40,28,25,1,11,13,6,9,7,19,17,,1,6,10,2,6,2,1,3,,3,6,18,19,,14,Surigao del Sur,01/09/2023,,6,2,3,4,,3,2,2,3,,2,,,1,2,1,,,2,,,,,,,,,,8,3,,,,,3,,,,,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
645,313,169,111,227,345,133,20,33,20,11,116,18,47,140,1,6,30,30,6,7,6,5,10,1,26,12,35,146,23,3,Tarlac,01/09/2023,,5,,20,36,7,2,2,11,36,4,14,,11,54,2,32,6,5,11,1,,1,,,,3,,,,1,,1,1,16,15,,,6,1,,6,,14,,3,2,10,3,,,,,6,1,7,,,,,1,,,,,,1,,,,,,,,,,1,,1,7,,,,,5,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,52,7,7,,3,6,1,2,,,2,1,3,1,1,,4,1,,,,,,,2,2,3,2,,1,Tawi-Tawi,01/09/2023,1,,19,,,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,215,144,53,87,53,48,35,25,16,14,34,6,25,105,1,1,18,19,4,8,,2,80,,5,12,25,38,17,14,Zambales,01/09/2023,,,9,9,8,26,3,2,3,10,1,7,1,1,20,1,2,1,12,3,1,,,,,,,,,2,2,1,7,4,5,1,,,3,,,4,1,,1,5,4,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
845,50,40,31,45,23,27,6,11,9,5,9,4,5,10,,,10,8,3,4,,4,12,,2,11,18,9,1,,Zamboanga del Norte,01/09/2023,,1,2,2,3,,1,,,2,,3,1,1,2,1,,5,1,2,,,2,,,,,1,,,,2,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
1097,129,85,85,96,74,78,69,47,14,10,20,7,24,70,2,4,28,23,,7,1,2,16,2,13,14,32,71,13,4,Zamboanga del Sur,01/09/2023,7,,6,10,7,4,2,,1,3,,18,,3,4,2,7,14,8,5,,,,,1,,,,2,,,2,,1,,1,,,3,,,,,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
