river,Location,Date_Extracted,pond,lake,lagoon,basin,oxbow,reservoir,canal,stream,drain,lake;pond,fishpond,tidal,wastewater,meander,fountain,yes,Flooded,lock,salt_pool,golf,ditch,stream_pool,moat,pool,Swimming_Pool,cove,Creek,intermittent,bank,shallow,Resrvoiur,dam,wetland,spring,estuary,natural,Deep_Well,Falls,reflecting_pool,strait
42,Sultan Kudarat,01/09/2023,12,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sulu,01/09/2023,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
36,Surigao del Norte,01/09/2023,544,15,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Surigao del Sur,01/09/2023,12,9,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Tarlac,01/09/2023,521,16,3,30,,12,,5,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,Tawi-Tawi,01/09/2023,6,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,Zambales,01/09/2023,267,36,104,3,,6,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Zamboanga del Norte,01/09/2023,74,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Zamboanga del Sur,01/09/2023,354,6,1,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Zamboanga Sibugay,01/09/2023,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Metro Manila,01/09/2023,152,2,0,2,,12,2,,,,,,12,,,,,,0,,,0,1,,,,,0,,,,,,,,,,,,
63,Palawan,01/09/2023,34,20,10,1,,4,0,,,,,,0,,,,,,2,,,1,0,,,,,1,,,,,,,,,,,,
