date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2018-04-01,21.0,,Zamboanga del Sur,PHL,2021-01-10
2018-04-08,1.0,,Zamboanga del Sur,PHL,2021-01-10
2018-04-15,5.0,,Zamboanga del Sur,PHL,2021-01-10
2018-04-22,12.0,,Zamboanga del Sur,PHL,2021-01-10
2018-04-29,31.0,,Zamboanga del Sur,PHL,2021-01-10
2018-05-06,17.0,,Zamboanga del Sur,PHL,2021-01-10
2018-05-13,12.0,,Zamboanga del Sur,PHL,2021-01-10
2018-05-20,32.0,,Zamboanga del Sur,PHL,2021-01-10
2018-05-27,63.0,,Zamboanga del Sur,PHL,2021-01-10
2018-06-03,41.0,,Zamboanga del Sur,PHL,2021-01-10
2018-06-10,41.0,,Zamboanga del Sur,PHL,2021-01-10
2018-06-17,0.0,,Zamboanga del Sur,PHL,2021-01-10
2018-06-24,4.0,,Zamboanga del Sur,PHL,2021-01-10
2018-07-01,5.0,,Zamboanga del Sur,PHL,2021-01-10
2018-07-08,19.0,,Zamboanga del Sur,PHL,2021-01-10
2018-07-15,63.0,,Zamboanga del Sur,PHL,2021-01-10
2018-07-22,71.33333333333333,,Zamboanga del Sur,PHL,2021-01-10
2018-07-29,79.66666666666667,,Zamboanga del Sur,PHL,2021-01-10
2018-08-05,88.0,,Zamboanga del Sur,PHL,2021-01-10
2018-08-12,78.0,,Zamboanga del Sur,PHL,2021-01-10
2018-08-19,83.0,,Zamboanga del Sur,PHL,2021-01-10
2018-08-26,65.0,,Zamboanga del Sur,PHL,2021-01-10
2018-09-02,53.0,,Zamboanga del Sur,PHL,2021-01-10
2018-09-09,29.0,,Zamboanga del Sur,PHL,2021-01-10
2018-09-16,11.0,,Zamboanga del Sur,PHL,2021-01-10
2018-09-23,36.0,,Zamboanga del Sur,PHL,2021-01-10
2018-09-30,42.0,,Zamboanga del Sur,PHL,2021-01-10
2018-10-07,45.0,,Zamboanga del Sur,PHL,2021-01-10
2018-10-14,47.0,,Zamboanga del Sur,PHL,2021-01-10
2018-10-21,45.0,,Zamboanga del Sur,PHL,2021-01-10
2018-10-28,20.0,,Zamboanga del Sur,PHL,2021-01-10
2018-11-04,20.0,,Zamboanga del Sur,PHL,2021-01-10
2018-11-11,35.0,,Zamboanga del Sur,PHL,2021-01-10
2018-11-18,20.0,,Zamboanga del Sur,PHL,2021-01-10
2018-11-25,28.0,,Zamboanga del Sur,PHL,2021-01-10
2018-12-02,36.0,,Zamboanga del Sur,PHL,2021-01-10
2018-12-09,14.0,,Zamboanga del Sur,PHL,2021-01-10
2018-12-16,0.0,,Zamboanga del Sur,PHL,2021-01-10
2018-12-23,0.0,,Zamboanga del Sur,PHL,2021-01-10
